id,routing_result
390,.V 37 21 35
391,.V 44 21 35
392,.V 60 0 10
393,.V 67 10 21
394,.V 70 21 35
395,.V 85 0 8
396,.V 94 8 21
397,.H 85 8 94
398,.H 60 10 67
399,.H 37 21 94
400,.end
401,.begin 23
402,.V 23 28 35
403,.V 36 0 9
404,.V 38 9 10
405,.V 46 10 28
406,.V 52 27 35
407,.V 54 0 10
408,.V 56 10 11
409,.V 59 27 35
410,.V 91 27 35
411,.V 109 0 11
412,.V 117 26 27
413,.V 127 11 26
414,.H 36 9 38
415,.H 38 10 56
416,.H 56 11 127
417,.H 117 26 127
418,.H 52 27 117
419,.H 23 28 46
420,.end
421,.begin 21
422,.V 22 20 35
423,.V 23 0 10
424,.V 32 10 20
425,.H 23 10 32
426,.H 22 20 32
427,.end
428,.begin 20
429,.V 21 30 35
430,.V 38 0 7
431,.V 41 7 8
432,.V 50 30 35
433,.V 53 29 30
434,.V 57 29 35
435,.V 78 8 29
436,.V 83 8 9
437,.V 93 34 35
438,.V 96 0 9
439,.V 105 0 9
440,.V 106 9 34
441,.V 107 0 9
442,.V 134 0 9
443,.V 135 9 10
444,.V 143 0 10
445,.V 154 0 10
446,.V 165 0 10
447,.H 38 7 41
448,.H 41 8 83
449,.H 83 9 135
450,.H 135 10 165
451,.H 53 29 78
452,.H 21 30 53
453,.H 93 34 106
454,.end
455,.begin 24
456,.V 24 32 35
457,.V 35 0 12
458,.V 47 12 13
459,.V 53 32 35
460,.V 54 13 32
461,.V 60 31 35
462,.V 90 31 35
463,.V 98 0 13
464,.V 101 13 31
465,.V 103 0 13
466,.V 120 13 14
467,.V 132 0 14
468,.V 141 0 14
469,.V 143 14 15
470,.V 145 0 15
471,.V 152 0 15
472,.V 163 0 15
473,.H 35 12 47
474,.H 47 13 120
475,.H 120 14 143
476,.H 143 15 163
477,.H 60 31 101
478,.H 24 32 54
479,.end
480,.begin 48
481,.V 87 18 35
482,.V 88 0 18
483,.H 87 18 88
484,.end
485,.begin 1
486,.V 20 26 35
487,.V 26 25 26
488,.V 39 0 11
489,.V 47 25 35
490,.V 49 25 35
491,.V 52 11 25
492,.V 54 11 12
493,.V 56 26 35
494,.V 90 12 26
495,.V 94 26 35
496,.V 102 12 26
497,.H 39 11 54
498,.H 54 12 102
499,.H 26 25 52
500,.H 20 26 26
501,.H 56 26 90
502,.H 94 26 102
503,.end
504,.begin 19
505,.V 19 25 35
506,.V 24 24 25
507,.V 26 23 24
508,.V 56 0 6
509,.V 57 6 23
510,.V 66 22 23
511,.V 67 22 35
512,.V 75 0 5
513,.V 75 22 35
514,.V 76 5 6
515,.V 84 6 22
516,.V 110 22 35
517,.V 118 0 4
518,.V 119 4 5
519,.V 121 0 5
520,.V 121 22 35
521,.V 124 5 22
522,.H 118 4 119
523,.H 75 5 76
524,.H 119 5 124
525,.H 56 6 57
526,.H 76 6 84
527,.H 66 22 124
528,.H 26 23 66
529,.H 24 24 26
530,.H 19 25 24
531,.end
532,.begin 12
533,.V 5 0 14
534,.V 9 0 14
535,.V 17 29 35
536,.V 25 14 29
537,.H 5 14 25
538,.H 17 29 25
539,.end
540,.begin 54
541,.V 105 26 35
542,.V 113 25 26
543,.V 117 24 25
544,.V 129 24 35
545,.V 131 24 35
546,.V 160 0 16
547,.V 167 24 35
548,.V 176 16 24
549,.H 160 16 176
550,.H 117 24 176
551,.H 113 25 117
552,.H 105 26 113
553,.end
554,.begin 7
555,.V 2 0 16
556,.V 8 0 16
557,.V 11 0 16
558,.V 16 26 35
559,.V 17 16 26
560,.H 2 16 17
561,.H 16 26 17
562,.end
563,.begin 14
564,.V 6 0 13
565,.V 10 0 13
566,.V 14 28 35
567,.V 15 28 35
568,.V 18 0 13
569,.V 21 13 28
570,.H 6 13 21
571,.H 14 28 21
572,.end
573,.begin 17
574,.V 11 26 35
575,.V 15 25 26
576,.V 18 25 35
577,.H 15 25 18
578,.H 11 26 15
579,.end
580,.begin 5
581,.V 1 0 17
582,.V 4 0 17
583,.V 10 17 35
584,.V 13 17 35
585,.V 45 27 35
586,.V 48 17 35
587,.V 50 17 27
588,.H 1 17 50
589,.H 45 27 50
590,.end
591,.begin 16
592,.V 9 27 35
593,.V 26 0 14
594,.V 26 27 35
595,.V 28 0 14
596,.V 31 14 27
597,.V 42 24 35
598,.V 47 14 24
599,.H 26 14 47
600,.H 42 24 47
601,.H 9 27 31
602,.end
603,.begin 9
604,.V 3 0 15
605,.V 8 26 35
606,.V 9 15 26
607,.V 41 22 35
608,.V 42 15 22
609,.V 48 0 15
610,.V 50 0 15
611,.V 55 24 35
612,.V 56 15 24
613,.H 3 15 56
614,.H 41 22 42
615,.H 55 24 56
616,.H 8 26 9
617,.end
618,.begin 26
619,.V 32 0 9
620,.V 32 26 35
621,.V 34 26 35
622,.V 34 9 10
623,.V 36 10 26
624,.H 32 9 34
625,.H 34 10 36
626,.H 32 26 36
627,.end
628,.begin 50
629,.V 94 0 5
630,.V 104 20 35
631,.V 112 0 5
632,.V 118 5 20
633,.V 123 20 35
634,.V 127 0 4
635,.V 136 4 20
636,.H 127 4 136
637,.H 94 5 118
638,.H 104 20 136
639,.end
640,.begin 3
641,.V 0 0 18
642,.V 7 18 35
643,.V 28 18 35
644,.V 40 18 35
645,.V 43 0 18
646,.V 45 0 18
647,.V 62 18 35
648,.H 0 18 62
649,.end
650,.begin 11
651,.V 5 24 35
652,.V 12 24 35
653,.V 21 0 11
654,.V 23 11 24
655,.V 29 22 35
656,.V 33 0 11
657,.V 33 22 35
658,.V 34 11 22
659,.V 35 22 35
660,.V 39 22 35
661,.H 21 11 34
662,.H 29 22 39
663,.H 5 24 23
664,.end
665,.begin 10
666,.V 4 22 35
667,.V 27 22 35
668,.H 4 22 27
669,.end
670,.begin 55
671,.V 108 21 35
672,.V 130 21 35
673,.V 130 0 18
674,.V 131 18 21
675,.V 134 18 35
676,.V 140 0 18
677,.V 152 18 35
678,.V 154 18 35
679,.V 170 18 35
680,.H 130 18 170
681,.H 108 21 131
682,.end
683,.begin 8
684,.V 3 23 35
685,.V 14 0 9
686,.V 15 9 23
687,.V 19 0 16
688,.V 24 16 23
689,.V 30 0 16
690,.V 58 0 16
691,.V 63 18 35
692,.V 64 16 18
693,.V 71 0 16
694,.V 79 29 35
695,.V 93 16 29
696,.V 102 29 35
697,.V 103 16 29
698,.V 110 0 16
699,.V 125 22 35
700,.V 128 16 22
701,.V 129 0 16
702,.H 14 9 15
703,.H 19 16 129
704,.H 63 18 64
705,.H 125 22 128
706,.H 3 23 24
707,.H 79 29 93
708,.H 102 29 103
709,.end
710,.begin 6
711,.V 2 21 35
712,.V 15 0 7
713,.V 20 0 7
714,.V 24 7 8
715,.V 29 8 21
716,.V 31 0 12
717,.V 33 12 21
718,.V 35 20 21
719,.V 57 0 4
720,.V 68 20 35
721,.V 70 4 20
722,.V 74 20 35
723,.V 76 0 1
724,.V 79 1 20
725,.V 100 19 20
726,.V 111 19 35
727,.V 119 0 2
728,.V 120 0 2
729,.V 120 19 35
730,.V 124 2 3
731,.V 125 3 19
732,.H 76 1 79
733,.H 119 2 124
734,.H 124 3 125
735,.H 57 4 70
736,.H 15 7 24
737,.H 24 8 29
738,.H 31 12 33
739,.H 100 19 125
740,.H 35 20 100
741,.H 2 21 35
742,.end
743,.begin 51
744,.V 95 21 35
745,.V 104 0 12
746,.V 105 12 21
747,.H 104 12 105
748,.H 95 21 105
749,.end
750,.begin 4
751,.V 1 20 35
752,.V 12 0 11
753,.V 20 11 20
754,.H 12 11 20
755,.H 1 20 20
756,.end
757,.begin 13
758,.V 6 25 35
759,.V 13 0 10
760,.V 14 10 25
761,.H 13 10 14
762,.H 6 25 14
763,.end
764,.begin 25
765,.V 30 24 35
766,.V 37 0 11
767,.V 38 11 24
768,.H 37 11 38
769,.H 30 24 38
770,.end
771,.begin 49
772,.V 89 0 18
773,.V 109 18 35
774,.V 117 0 18
775,.V 122 0 18
776,.V 122 23 35
777,.V 129 18 23
778,.H 89 18 129
779,.H 122 23 129
780,.end
781,.begin 2
782,.V 0 19 35
783,.V 49 0 14
784,.V 51 0 14
785,.V 60 14 19
786,.H 49 14 60
787,.H 0 19 60
788,.end
